"","country","SFTGcode","COW","risk_in_2017","risk_2017_18","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"1","Afghanistan","AFG",700,0.1429,0.2617,1,1,0,0,0,0,1,4.58496747867057,17.3577609524821,8.14248119432891,0.000518672199170123,0,1,1.09861228866811,1,0.77,7.66949525100769,1,4,1,2,0,0,0,0.589223582524403,0,0,0,1,-2.35914777816913,0,1,0
"2","Democratic Republic of Congo","ZAI",490,0.1279,0.2428,1,1,1,0,0,0,0,4.04305126783455,18.1745750419033,8.63133825081603,0,1,1,0,1,0.87,5.10594547390058,1,4,1,3,0,0,0,0.339268368085883,0,0,0,1,-2.29102501714521,1,1,0
"3","Egypt","EGY",651,0.07939,0.2023,0,1,0,0,0,1,0,4.15888308335967,18.3690398784143,4.50555213042752,0.0172659309362762,1,1,1.38629436111989,1,0.18,5.59471137960184,1,3,1,2,1,0,0,0.111969753854474,1,1,0,1,-3.02585643290707,1,1,0
"4","Yemen","YEM",679,0.08473,0.2014,0,0,0,0,0,1,0,3.29583686600433,17.1312756454141,5.81377674149945,-0.118990384615385,0,1,0,1,0.135,7.84698098213879,1,4,1,0,1,0,0,0.123288226376498,0,0,0,1,-2.90749104471681,0,1,0
"5","South Sudan","SSD",626,0.09819,0.2009,1,1,1,0,0,0,0,1.79175946922805,16.3286391496968,7.76530746332687,0.00725221595487513,0,1,0,1,0.73,6.60123011872888,1,4,1,2,1,0,0,0.130183151308485,1,0,0,1,-1.57066599339285,0,1,0
"6","Pakistan","PAK",770,0.08083,0.1784,1,1,0,0,0,0,1,4.24849524204936,19.0704337839829,8.1117199162693,0.0383702531645569,0,1,2.19722457733622,1,0.71,4.23410650459726,1,4,1,2,0,0,0,0.779077885275657,0,0,0,1,-3.20898786224354,0,0,1
"7","Sudan","SUD",625,0.09048,0.1665,1,1,1,0,0,0,0,4.11087386417331,17.4897368332262,6.89927532426414,0.03157111544395,0,1,1.79175946922805,1,0.71,7.18159194461187,1,3,1,2,0,0,0,0.282900379413201,0,0,0,1,-3.3418498825413,1,1,0
"8","Burundi","BUI",516,0.05306,0.1235,0,1,1,0,0,0,0,4.00733318523247,16.181440144085,7.35527021937332,-0.0428769017980636,0,1,0.693147180559945,0,0.3,0,1,1,0,3,1,0,0,0.0555024502301623,0,0,1,1,-2.7688546331777,1,1,0
"9","Turkey","TUR",640,0.06829,0.1209,0,1,0,0,1,0,0,4.54329478227,18.1843565750296,3.40587727318528,-0.0972702806612841,1,1,0,0,0.32,5.66988092298052,1,4,0,2,0,0,0,0.352183787723995,1,0,0,1,-2.54963891179449,1,1,0
"10","Ethiopia","ETI",530,0.06018,0.1142,1,1,1,0,0,0,0,7.65775527113487,18.4366954865523,6.43428317685817,0.0526649746192893,0,1,2.484906649788,0,0.72,3.25809653802148,1,3,1,3,0,0,0,0.413510869807012,0,0,0,1,-2.84600428119014,0,1,0
"11","Libya","LIB",620,0.05435,0.1125,0,1,0,0,0,1,0,4.18965474202643,15.6819717499248,3.37638860322683,-0.0490956072351422,1,1,0,0,0.79,7.42595365707754,1,3,1,1,0,0,0,0.343980166196618,0,0,0,0,-1.64720964326132,0,1,0
"12","Angola","ANG",540,0.04764,0.1115,0,1,1,0,0,0,0,3.73766961828337,17.1745106407337,9.79795897113271,-0.02711157455683,1,1,2.99573227355399,1,0.79,0,1,4,1,3,0,0,0,0.440712172720656,0,0,0,1,-2.29384613440173,0,1,0
